,PCCL3Ctrl_mean,PCCL3Ctrl_std,PCCL3Ctrl_n,PCCL3TSH0_mean,PCCL3TSH0_std,PCCL3TSH0_n,PCCL3TSH24_mean,PCCL3TSH24_std,PCCL3TSH24_n,PCCL3TSH48_mean,PCCL3TSH48_std,PCCL3TSH48_n,minuslog10_pvalue,fold_change,log2_fold_change
PI(38:2),0.0021466489777945716,0.00015472455181133877,3,0.0019541675077673613,0.0002411059928845867,3,0.001815282637472147,0.0006154093377781609,3,0.00260643086261061,0.0002239405418393268,3,1.5774672729816799,1.3337806775778707,0.4155214540903561
PI(38:3),0.005136809313487105,0.00036707214388528544,3,0.006865816543870346,0.0007242290156575113,3,0.003945040135831573,0.001143854762027754,3,0.004365136730571928,0.0003730636508350841,3,2.220465242797268,0.6357782359432584,-0.6534044641210525
PI(38:5),0.0005727367273752315,1.0117839894961473e-05,3,0.0004129248721958167,7.685011332419109e-06,3,0.00044740375160858356,7.50304290019179e-05,3,0.0001945087273774333,1.3236913067318132e-05,3,4.798501978404215,0.47105112933278,-1.0860444320102092
PI(39:4),2.7321368847276196e-05,2.8125679340573343e-06,3,2.6209728283121915e-05,1.6416933005786672e-06,3,1.9019211695993758e-05,4.5955673521580706e-06,3,1.0681886457961211e-05,1.4772269386162543e-06,3,3.583441184321316,0.4075542616304018,-1.2949359428477565
PI(39:3),6.896299753451791e-05,8.311366439445049e-06,3,6.944415679647326e-05,7.076476009067402e-06,3,4.2679428923619464e-05,1.4619219559284599e-05,3,3.507069134612772e-05,2.2391224952608644e-06,3,2.882546411610916,0.5050200472433239,-0.9855874367566423
PI(40:2),6.347468367568361e-05,4.511751332355597e-06,3,6.0427759198925016e-05,4.932970768595161e-06,3,8.100814187578642e-05,3.213323509066607e-05,3,8.602602409194974e-05,1.2019516115832495e-05,3,1.5692206603630015,1.4236176424936853,0.5095617169856477
PI(40:3),0.00021167205271915767,1.7297287465622236e-05,3,0.00026392234216106395,1.4652762829963645e-05,3,0.00020887619087548676,8.214097368186732e-05,3,0.00019878027471184362,2.3892575273051642e-05,3,1.801598321785331,0.7531771394728451,-0.4089388831318111
PI(40:5),0.00018637276993551158,6.38434493534554e-06,3,0.00018193765551776004,1.3131072465397464e-05,3,0.0001320279184085038,3.457725967200635e-05,3,6.986665008814942e-05,4.791395087642287e-06,3,3.8071587752064193,0.3840142376756598,-1.3807682937240497
PI(40:4),0.0001723473349483673,3.921567995583748e-06,3,0.00021308926274994655,1.3273673561323375e-05,3,0.00018453774045390503,4.482073928332609e-05,3,0.00012186467524292922,1.0028970221466098e-05,3,3.1637332233451883,0.5718949592778568,-0.8061779053050485
PI(31:1),0.0017124535143823465,0.0006444157707330865,3,0.002749658651888196,0.00012910148101614557,3,0.0019909027097536544,0.0003817954831203328,3,0.0018816099912656037,8.010364225357877e-05,3,3.2326556729398654,0.6843067556671074,-0.5472849047581196
PA(31:1),0.0001994357901467307,5.1687552435851745e-05,3,0.00022389578765419946,5.718310262114592e-06,3,0.00022509552014517403,5.003546828585499e-05,3,0.0002448424562974879,3.51809167856126e-05,3,0.43618234708272713,1.0935554387277708,0.12902636089833985
PA(34:1),0.00019167343329071326,7.672126431030865e-05,3,1.7527060241062593e-05,1.7871707974472244e-06,3,0.0002965239357051389,0.00017249907143101676,3,7.31028782941706e-05,6.994948914293286e-06,3,3.737684677889265,4.17085793559974,2.0603441731486876
PA(36:1),0.00015263889930771548,7.34988509670442e-06,3,8.126129484619555e-05,2.6294284857343937e-06,3,0.00016898978754255385,4.5974271665686865e-05,3,0.00011146074278013623,1.6457250053252e-05,3,1.4572178319799949,1.37163385091389,0.45589541447729653
PA(19:2),0.00022694083399363028,8.39567269915131e-05,3,0.0003708592335754724,1.2406745869451118e-05,3,0.0003413096428765102,9.524540003800348e-05,3,0.00031836493095480876,4.7950500890386595e-05,3,0.8529672312815575,0.8584522161830421,-0.22019026280829215
PA(43:4),2.25906414536189e-05,1.3197540844174824e-06,3,2.5966776789002592e-05,2.64605812964581e-06,3,1.985041147619622e-05,3.3834642987561973e-06,3,1.589799653115578e-05,2.330816351076862e-06,3,2.1087338287879835,0.6122437397732349,-0.7078219776608415
PA(43:5),2.296035782350878e-05,1.6001090851337617e-06,3,2.966148211211985e-05,1.898541853935166e-06,3,2.8692929721802264e-05,7.2971700329917146e-06,3,1.607818982694282e-05,1.7769808755832759e-06,3,3.082513533819216,0.5420561847235942,-0.8834856986198167
PA(43:6),1.7286945173028772e-05,1.0052889711411246e-06,3,2.2466916381300752e-05,2.4600001676055363e-06,3,2.3204998293119126e-05,5.901482344324955e-06,3,1.2108630133182212e-05,5.778250646311525e-07,3,2.682215341189544,0.5389538077980405,-0.8917664659103791
CL(72:8),4.662423576566482e-05,6.371305372654177e-06,3,3.385914246103769e-05,2.3856281379774718e-06,3,2.1943193334618134e-05,6.010341275715689e-06,3,2.046585009887099e-05,4.00954346990422e-07,3,3.1798807191632257,0.6044408869014153,-0.7263268411768279
CL(68:0),2.6649832515436138e-05,1.7264095311786408e-06,3,2.645956575460506e-05,2.4395381215016144e-06,3,2.3838613423171817e-05,4.134058616630317e-06,3,3.040248958582546e-05,3.622250511846941e-06,3,0.7146485774752629,1.1490169516683837,0.20040008249882899
CL(68:4),9.729145046138065e-05,6.079300151378126e-06,3,7.292922285711898e-05,4.861989120834386e-06,3,0.00012758959500611862,6.113866913802523e-05,3,0.0002597525981716854,2.0869695228770762e-05,3,3.950435610349307,3.5617080231416405,1.8325692539940535
CL(70:0),6.94551764877442e-05,1.3241869033720842e-06,3,6.387537161199092e-05,3.6102979072105556e-06,3,5.826522614863963e-05,5.925525863154678e-06,3,6.208267720838787e-05,3.192635737043524e-06,3,0.256110323767608,0.9719344974696552,-0.04106900673531217
CL(70:4),0.0002588475833212359,3.251980857767669e-05,3,0.0002742142394655317,2.71592449184925e-05,3,0.00027223895890253713,0.0001395464375504257,3,0.00041863673634382376,0.00010751739818160137,3,1.0600218400410886,1.526677597632364,0.6103954272911595
CL(70:1),6.28175627275139e-05,3.138152867210219e-06,3,5.830118650217399e-05,1.0383167224348759e-05,3,4.480176242927157e-05,7.745906793261154e-06,3,4.9589449992323706e-05,5.871295640647003e-06,3,0.5613810808332226,0.8505735983687839,-0.2334920201888703
CL(70:5),0.00029966369156393435,3.808901984218976e-05,3,0.00022874649409375476,1.0399414990912499e-05,3,0.00019863840456853588,9.80069525159045e-05,3,0.00028679805160661866,4.133978174805319e-05,3,1.1091944252163084,1.2537811901461131,0.3262855910144565
CL(70:2),3.305217739101846e-05,6.7245657275052025e-06,3,4.8818994160895296e-05,3.2483334815664424e-06,3,3.98516279293327e-05,1.1200713356736921e-05,3,3.752057899171632e-05,6.55265887912766e-06,3,1.2559182509607794,0.7685651791197868,-0.3797604802472354
CL(70:6),0.00013004309358099003,2.82330261215711e-05,3,7.054903160250705e-05,3.302137779653657e-06,3,6.284257265794479e-05,2.573247733271371e-05,3,7.325730689092907e-05,3.0054213642447693e-06,3,0.45255392780068066,1.0383885537037731,0.054346385516505336
CL(72:0),7.962095913251848e-05,5.845573739409277e-06,3,8.182669316364172e-05,5.788298650935162e-06,3,7.199343606712006e-05,4.75508108712346e-06,3,7.836696175885225e-05,8.616905361051715e-06,3,0.22571091736807541,0.9577187923521423,-0.06232598426414521
CL(72:4),0.00026855541493692035,4.4673880069105526e-05,3,0.00043628359694870134,3.247547270891499e-05,3,0.0002529539938371692,0.00013499935673227836,3,0.000322484526397636,3.19116687599265e-05,3,1.9080385795817212,0.7391626195736944,-0.4360362952752389
CL(72:1),8.66265008870993e-05,5.1434153357524744e-06,3,8.856859982812029e-05,7.5860735746538215e-06,3,7.032880273374035e-05,8.46724486713956e-06,3,6.79174217344597e-05,3.479870969418306e-06,3,1.893134012995302,0.7668340909336144,-0.38301361895642266
CL(72:5),0.0004698127820623867,5.928739119898553e-05,3,0.0005209033711362144,2.6755960655718244e-05,3,0.0002605457925480277,0.00014014662470536034,3,0.0002826338179381025,1.4799045608340946e-05,3,3.7585692984530708,0.5425839677743125,-0.8820816752701751
