lipid class;#db bonds;01PCCL3Ctrl;02PCCL3Ctrl;03PCCL3Ctrl;04PCCL3TSH0;05PCCL3TSH0;06PCCL3TSH0;07PCCL3TSH24h;08PCCL3TSH24h;09PCCL3TSH24h;10PCCL3TSH48h;11PCCL3TSH48h;12PCCL3TSH48h;13Blank;14BlankStdrmix
GP06_PI;5;1.77E+07;1.56E+07;1.66E+07;1.29E+07;1.33E+07;1.36E+07;1.31E+07;1.36E+07;1.55E+07;4.89E+06;5.58E+06;5.51E+06;0.00E+00;0.00E+00
GP06_PI;6;5.45E+06;4.67E+06;4.82E+06;4.91E+06;4.49E+06;4.74E+06;4.65E+06;5.04E+06;5.80E+06;1.67E+06;2.16E+06;2.22E+06;0.00E+00;0.00E+00
GP06_PI;7;5.28E+05;4.77E+05;4.80E+05;6.18E+05;5.28E+05;6.16E+05;6.09E+05;8.36E+05;7.41E+05;1.72E+05;0.00E+00;0.00E+00;0.00E+00;6.62E+04
GP06_PI;11;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1.90E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP06_PI;12;4.39E+05;3.46E+05;5.51E+05;0.00E+00;0.00E+00;0.00E+00;3.40E+05;3.67E+05;0.00E+00;6.56E+05;7.28E+05;1.07E+06;0.00E+00;0.00E+00
GP06_PI;SUM;4.64E+08;4.28E+08;4.54E+08;4.41E+08;5.09E+08;5.15E+08;4.96E+08;4.82E+08;4.79E+08;3.89E+08;4.76E+08;4.43E+08;0.00E+00;3.51E+07
GP10_PA;0;1.13E+07;1.16E+06;1.68E+06;4.53E+05;3.42E+05;2.95E+05;5.52E+07;3.81E+07;6.97E+07;8.16E+06;1.13E+07;1.22E+07;1.82E+05;2.50E+05
GP10_PA;1;1.26E+07;1.60E+07;1.25E+07;7.38E+06;7.39E+06;7.06E+06;1.46E+07;1.40E+07;4.35E+07;6.66E+06;1.02E+07;1.11E+07;0.00E+00;2.59E+06
GP10_PA;2;3.41E+06;8.42E+06;5.53E+06;0.00E+00;8.45E+06;7.84E+06;0.00E+00;8.05E+06;1.84E+07;0.00E+00;6.15E+06;6.78E+06;0.00E+00;0.00E+00
GP10_PA;3;1.33E+06;7.21E+05;8.25E+05;0.00E+00;1.33E+06;0.00E+00;0.00E+00;0.00E+00;1.76E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP10_PA;4;2.51E+06;0.00E+00;8.20E+05;5.98E+05;3.81E+06;1.79E+06;0.00E+00;4.04E+05;9.85E+05;0.00E+00;3.53E+06;3.02E+05;0.00E+00;0.00E+00
GP10_PA;5;1.67E+06;0.00E+00;1.11E+06;1.94E+06;6.59E+06;6.30E+06;0.00E+00;0.00E+00;6.59E+05;3.05E+05;4.35E+06;1.19E+06;0.00E+00;0.00E+00
GP10_PA;6;4.22E+06;0.00E+00;3.85E+06;1.42E+06;6.80E+06;5.04E+06;0.00E+00;0.00E+00;1.39E+06;2.13E+05;4.22E+06;5.65E+05;0.00E+00;0.00E+00
GP10_PA;7;4.13E+05;3.62E+05;3.70E+05;3.20E+05;4.26E+06;4.62E+06;3.09E+05;0.00E+00;0.00E+00;0.00E+00;1.93E+06;0.00E+00;0.00E+00;0.00E+00
