Class	Lipid	Occurence	m/z	RTmin	RTmax	01pcDNA	02pcDNA	03pcDNA	04Creb3L1ACAoverex	05Creb3L1ACAoverex	06Creb3L1ACAoverex	07Scram	08Scram	09Scram	10siCreb3L1	11siCreb3L1	12siCreb3L1	BlankCal25	BlankCal5
GP01_PC	1030004_32:1	H 1	716.55884	4.83	4.9	20238429.0	16591238.5	15242776.25	37726558.75	33011531.625	43726988.25	9104952.3125	13417438.25	9846094.0625	13191392.4375	17327891.5625	12844541.875	0	0
GP01_PC	1030006_34:1	H 1	744.59015	4.55	4.58	0	0	0	0	0	0	0	0	0	1623710.3984375	0	0	0	0
GP01_PC	1030006_34:1	H 2	744.59015	4.79	4.86	79760080.625	61879937.375	56175356.875	95684796.75	84326978.125	98713394.75	31312647.5625	44984750.5625	34820224.5625	53190091.125	62473129.625	48612197.25	0	0
GP01_PC	1030008_34:2	H 2	742.57452	4.78	4.86	22022231.25	16253107.5	14857313.765625	22872239.5	18412981.0	23265903.75	5828347.259765625	8140539.5	6004084.5185546875	8788008.875	10699127.625	7411800.462890625	0	0
GP01_PC	1030008_34:2	H 3	742.57452	4.98	5.04	0	529698.953125	531268.9375	0	0	0	0	0	0	0	0	0	0	0
GP01_PC	1030010_36:4	H 1	766.57452	4.66	4.71	139499628.5	116636722.5	116505726.75	95123595.375	81888792.125	102503410.0	20804738.1875	28851982.5	23601099.5625	41359690.125	36541601.75	35067062.625	0	0
GP01_PC	1030010_36:4	H 2	766.57452	4.82	4.87	0	0	2593259.59375	0	0	1358930.984375	0	0	0	2170827.78125	2286097.90625	1851296.5	0	0
GP01_PC	1030012_38:4	H 1	794.60583	4.58	4.7	54207403.375	45426754.625	45945747.5	48112028.0	45628941.5	53002970.375	13798110.125	21701933.5625	15463537.4375	33188044.875	27043987.625	0	0	0
GP01_PC	1030013_36:1	H 1	772.62146	4.71	4.84	18519255.6875	14867690.5	14592321.25	33293384.4375	29017448.6875	34197132.9375	14589231.84375	14242372.765625	16838557.875	22684718.875	0	0	0	0
GP01_PC	1030013_36:1	H 2	772.62146	4.86	4.87	0	0	0	0	0	0	0	0	0	0	0	20823958.3125	0	0
GP01_PC	1030014_40:6	H 1	818.60583	4.57	4.66	49992816.375	44599975.125	42321261.125	32819961.1875	32767663.1875	37578118.25	9486297.828125	13824214.84375	12207812.25	20836983.75	20089994.0	19903283.375	0	0
GP01_PC	1030015_38:6	H 1	790.57452	4.62	4.66	81127469.25	69608337.5	65830353.25	66997350.5	64151587.25	75489424.75	10457827.5	14087600.75	12687549.625	23764322.9375	22476758.8125	22154646.75	0	0
GP01_PC	1030021_30:0	H 1	690.54321	4.95	5.04	5791927.6796875	4796049.859375	4090312.0390625	5429183.359375	4754517.9765625	5933161.671875	2490820.814453125	3059825.49609375	2867151.05078125	3690534.14453125	4374674.83203125	3360010.54296875	0	0
GP01_PC	1030022_30:1	H 1	688.52759	4.91	4.98	329542.361328125	282488.50390625	0	779910.984375	630708.015625	801832.6328125	0	0	183198.2822265625	0	0	0	0	0
GP01_PC	1030023_31:0	H 1	704.55884	4.92	4.99	2976030.615234375	2787185.220703125	2410446.1875	1756887.2451171875	1441456.091796875	1688000.212890625	1211086.6005859375	1467536.30859375	1343997.2099609375	1684691.21875	1801240.5791015625	1516128.220703125	0	0
GP01_PC	1030024_31:1	H 1	702.54321	4.87	4.92	0	0	233168.296875	0	529582.90625	613644.74609375	0	243783.1875	0	291155.826171875	393246.98046875	0	0	0
GP01_PC	1030025_32:0	H 2	718.57452	4.88	4.98	65011876.125	59760464.75	52595926.5	37669836.8125	32550679.0	39964636.0	20386734.625	27688423.6875	22893393.5	31424274.75	39415344.28125	30199832.4375	0	0
GP01_PC	1030028_33:1	H 1	730.57452	4.82	4.87	2082899.671875	1876724.4140625	1752940.828125	2390087.1513671875	1745758.751953125	2445221.296875	1044768.828125	1511217.16796875	1115436.564453125	1655770.42578125	1979777.609375	1470243.841796875	0	0
GP01_PC	1030029_33:2	H 1	728.55884	4.82	4.86	0	0	257080.49609375	0	0	0	0	0	0	0	0	0	0	0
GP01_PC	1030030_34:0	H 1	746.60583	4.91	4.98	36089352.8125	27739624.625	24699519.125	24802476.9375	20078807.375	24025033.8125	36445017.875	47946706.875	38684486.375	62698922.125	67084231.5	56652390.0	0	0
GP01_PC	1030031_34:3	H 1	740.55884	4.75	4.88	2491311.8125	1942021.859375	1909259.359375	3172659.9375	2302887.5	3122070.625	1150617.515625	674956.34765625	1011972.578125	1795603.1875	1503876.359375	0	0	0
GP01_PC	1030033_34:4	H 1	738.54321	4.75	4.82	587862.078125	450537.5	625755.7734375	0	498761.5390625	718361.39453125	0	0	0	0	274506.76171875	0	0	0
GP01_PC	1030035_35:1	H 1	758.60583	4.71	4.8	748420.1953125	426719.1611328125	603394.8232421875	0	657880.482421875	1036706.1123046875	0	0	167333.11083984375	661849.2861328125	822061.36328125	358618.41796875	0	0
GP01_PC	1030036_36:0	H 1	774.63708	4.83	4.9	7787258.921875	5730997.546875	5421363.5	10230176.0625	7962931.203125	10319407.703125	6965412.5625	10420878.625	7579098.0625	11391376.03125	15196485.75	10589269.1875	0	0
