Class,PCCL3Ctrl,PCCL3Ctrl,PCCL3Ctrl,PCCL3TSH0,PCCL3TSH0,PCCL3TSH0,PCCL3TSH24,PCCL3TSH24,PCCL3TSH24,PCCL3TSH48,PCCL3TSH48,PCCL3TSH48
GL02_DAG,350218.82763671875,477477.66015625,378050.236328125,506118.7041015625,417367.8623046875,493082.8994140625,527750.29296875,567594.759765625,607439.2265625,413194.9497070313,387905.1184082031,362615.287109375
GL02_DAG,303900.5517578125,490605.486328125,397253.01904296875,489684.796875,512437.5078125,341681.2099609375,348669.35546875,343209.427734375,538803.04296875,313619.9921875,313619.9921875,313619.9921875
GL02_DAG,302446.0849609375,359537.83984375,329928.8125,509304.2490234375,398230.0974121094,450469.26171875,416687.31103515625,396269.3818359375,437105.240234375,341943.48046875,320730.359375,322446.798828125
GL02_DAG,387680.0625,388778.7060546875,386581.4189453125,511249.734375,491201.1728515625,471152.611328125,400293.32421875,406862.42578125,411356.5390625,401804.5517578125,453230.3203125,350378.783203125
GL02_DAG,258512.2998046875,258512.2998046875,258512.2998046875,425325.7109375,425325.7109375,425325.7109375,383582.0107421875,315761.4794921875,434923.7065429688,300934.7265625,300934.7265625,300934.7265625
GL02_DAG,343414.1015625,343414.1015625,343414.1015625,366986.05078125,501145.3154296875,398598.0498046875,294890.3662109375,404730.8818359375,349810.6240234375,221218.58203125,300935.35546875,292524.0625
GL02_DAG,312597.34033203125,317147.0263671875,308047.654296875,363279.7275390625,385577.65380859375,407875.580078125,424869.59228515625,424869.59228515625,424869.59228515625,238116.98583984372,329654.6569824219,421192.328125
GL03_TAG,6219871.96875,5515856.640625,6737940.375,2685395.0703125,2566503.80859375,2617578.25,3271311.390625,3947153.8671875,3902379.21875,7592748.65625,7987385.40625,8556565.40625
GL03_TAG,21166013.625,13371108.9375,17751184.375,4336813.75,4110879.5625,4085923.21875,16362438.125,17617221.0,19269300.5,31260644.625,38261090.25,35733325.625
GL03_TAG,58729173.5,39411912.5,53517054.5,15895782.8125,15352907.28125,15688067.71875,51994897.0,56819404.0,69591432.5,129857140.0,141647108.5,135454685.0
