,siCREB3L1_mean,siCREB3L1_std,siCREB3L1_n,Scramble_mean,Scramble_std,Scramble_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(38:3),4.032626364170936e-05,1.2130738132208055e-05,3,3.329983207668629e-05,5.452720289371261e-06,3,0.3851718562959753,1.2110050149454772,0.27620483945172114
DAG(39:2),9.365206243511124e-05,8.912781045133998e-06,3,9.776090378071983e-05,3.846412510804756e-06,3,0.29745773483289445,0.9579705057266571,-0.061946856354841755
DAG(39:3),3.268057217230324e-05,4.763608367693081e-06,3,3.492310848167555e-05,7.052510296632673e-06,3,0.1727676333648967,0.9357864632654626,-0.09574873552130216
DAG(41:1),1.842171662860776e-05,7.541092232497623e-06,3,1.9602046398293905e-05,2.9977941895507716e-06,3,0.08963494828327431,0.9397853802759656,-0.08959677018666058
DAG(41:2),8.426326169566648e-05,7.357768203078832e-06,3,9.763364580564162e-05,1.5076110654811817e-05,3,0.6205638696875274,0.8630555686039684,-0.21247464328329768
DAG(41:3),3.6961484087236545e-05,6.6934187863131365e-06,3,4.3988086595805464e-05,1.0288139576501214e-05,3,0.4230438837155198,0.8402612377043254,-0.2510901625348211
DAG(42:2),8.346123793956346e-05,9.840845219213211e-06,3,8.773342367276065e-05,1.189022812774062e-05,3,0.18265297217708548,0.9513049240032837,-0.07202024924129015
DAG(43:2),7.388966182627869e-05,1.4241453966091204e-05,3,7.506960508802746e-05,1.7493285395429654e-05,3,0.03050716201029991,0.9842820105372186,-0.022856367825785567
DAG(43:3),1.713920476037996e-05,1.2949414224915838e-06,3,2.9774441120949318e-05,1.9046029487609033e-06,3,3.1645586422623895,0.5756348100962608,-0.7967742567446245
DAG(44:1),1.6249693225116403e-05,1.2277349593621153e-06,3,2.3015755868271764e-05,1.920382161245176e-06,3,2.1685192548295804,0.7060247474868867,-0.5022093413471832
DAG(44:2),7.000446708540505e-05,1.3936059976013144e-05,3,7.656645092418297e-05,1.2615566546294464e-05,3,0.23803341120431748,0.9142968785992748,-0.12926540034960837
DAG(45:2),6.458196087244874e-05,1.1401533025616575e-05,3,7.847931998319983e-05,1.573765265002313e-05,3,0.5478961547669872,0.8229169274947068,-0.28118129527386343
